Vend_az	Vezetéknév	Keresztnév	Re_az
1	Andy	Péter	1
2	Árva	Géza	1
3	Balogh	Nóra	2
4	Baranyi	János	3
5	Báró	Béla	2
6	Csákányi	Zoltán	4
7	Csomós	Miklós	1
8	Csurka	Vanda	3
9	Dajka	László	1
10	Domján	Franciska	4
11	F. Nagy	Ferenc	2
12	Farády	György	3
13	Gárdonyi	Tamás	5
14	Harkányi	Béla	1
15	Haumann	Imre	4
16	Hintsch	Éva	2
17	Joó	László	5
18	Raksányi	Éva	3
19	Ronyecz	Antal	4
20	Soós	László	2
21	Szerednyei	Hugó	3
22	Szilágyi	Dávid	5
23	Szirtes	Mari	4
24	Szombathy	Edit	1
25	Szüri	István	5
26	Tábori	Richárd	2
27	Tanay	András	5
28	Szita	Károly	3
29	Gelencsér	Attila	3
30	Osváth	Ferenc	2
31	Arató	Gergely	4
32	Müller	Pál	5
